hs_code,country,year,quantity
330300,AE,2022,252.0
330300,AE,2023,194.0
330300,AE,2024,350.0
330300,AM,2022,0.0
330300,AM,2023,8.0
330300,AM,2024,4.0
330300,AT,2022,0.0
330300,AT,2023,1.0
330300,AT,2024,0.0
330300,AU,2022,0.0
330300,AU,2023,0.0
330300,AU,2024,2.0
330300,BE,2022,11.0
330300,BE,2023,0.0
330300,BE,2024,1.0
330300,BG,2022,6.0
330300,BG,2023,3.0
330300,BG,2024,4.0
330300,BH,2022,8.0
330300,BH,2023,4.0
330300,BH,2024,8.0
330300,BR,2022,0.0
330300,BR,2023,0.0
330300,BR,2024,0.0
330300,BY,2022,1210.0
330300,BY,2023,1324.0
330300,BY,2024,754.0
330300,CA,2022,0.0
330300,CA,2023,0.0
330300,CA,2024,0.0
330300,CH,2022,172.0
330300,CH,2023,85.0
330300,CH,2024,179.0
330300,CL,2022,0.0
330300,CL,2023,0.0
330300,CL,2024,0.0
330300,CN,2022,57.0
330300,CN,2023,49.0
330300,CN,2024,79.0
330300,CY,2022,0.0
330300,CY,2023,0.0
330300,CY,2024,0.0
330300,CZ,2022,245.0
330300,CZ,2023,207.0
330300,CZ,2024,164.0
330300,DE,2022,1030.0
330300,DE,2023,684.0
330300,DE,2024,886.0
330300,DK,2022,18.0
330300,DK,2023,12.0
330300,DK,2024,15.0
330300,ES,2022,2209.0
330300,ES,2023,1796.0
330300,ES,2024,2273.0
330300,FR,2022,6887.0
330300,FR,2023,4236.0
330300,FR,2024,6094.0
330300,GB,2022,223.0
330300,GB,2023,177.0
330300,GB,2024,201.0
330300,GE,2022,0.0
330300,GE,2023,0.0
330300,GE,2024,0.0
330300,GR,2022,16.0
330300,GR,2023,24.0
330300,GR,2024,34.0
330300,HU,2022,0.0
330300,HU,2023,0.0
330300,HU,2024,0.0
330300,ID,2022,0.0
330300,ID,2023,0.0
330300,ID,2024,0.0
330300,IE,2022,1.0
330300,IE,2023,0.0
330300,IE,2024,0.0
330300,IL,2022,1.0
330300,IL,2023,0.0
330300,IL,2024,0.0
330300,IN,2022,1.0
330300,IN,2023,0.0
330300,IN,2024,0.0
330300,IT,2022,1444.0
330300,IT,2023,854.0
330300,IT,2024,1475.0
